รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ,รูปสินค้า
24416129046,CPU (ซีพียู) AMD RYZEN 9 7950X 4.5 GHz (SOCKET AM5) (ระบบระบายความร้อนไม่รวมอยู่ในสินค้า) -3 YEARS,22.7พัน,19,mcwinner,1%,฿226.99,https://shopee.co.th/product/43263481/24416129046,https://s.shopee.co.th/2qSiUqO1NA,https://down-ws-th.img.susercontent.com/th-11134207-7rasd-m8x801x6gycuda.webp
27484594823,CPU (ซีพียู) AMD RYZEN 9 9950X - 16C 32T 4.3-5.7GHz (AMD SOCKET AM5) (ระบบระบายความร้อนไม่รวมอยู่ในสินค้า),26.5พัน,6,JIB Official Store,1%,฿264.80,https://shopee.co.th/product/17333589/27484594823,https://s.shopee.co.th/2g9IIXOei9,https://down-ws-th.img.susercontent.com/th-11134207-7r991-m08fblrkcqfsb1.webp
28261435818,CPU (ซีพียู) AMD RYZEN 5 9600X - 6C 12T 3.9-5.4GHz (AMD SOCKET AM5) (ระบบระบายความร้อนไม่รวมอยู่ในสินค้า),10.5พัน,382,JIB Official Store,1%,฿104.80,https://shopee.co.th/product/17333589/28261435818,https://s.shopee.co.th/3B5YtSMkhG,https://down-ws-th.img.susercontent.com/th-11134207-7ras8-m7agd6ph9f744c.webp
25392594178,CPU (ซีพียู) AMD RYZEN 9 9950X3D - 16C 32T 4.3-5.7GHz AMD SOCKET AM5 (ระบบระบายความร้อนไม่รวมอยู่ในสินค้า),33.0พัน,6,JIB Official Store,1%,฿329.90,https://shopee.co.th/product/17333589/25392594178,https://s.shopee.co.th/30m8h9NO2F,https://down-ws-th.img.susercontent.com/th-11134207-7rasd-m8ylj449xemnd8.webp
24544522174,ซีพียู CPU: AMD - RYZEN 9 (9950X AM5),29.9พัน,2,atSine Tech,2%,฿598.00,https://shopee.co.th/product/810470807/24544522174,https://s.shopee.co.th/3ViPI4LU1M,https://down-ws-th.img.susercontent.com/th-11134275-7rasm-maw7h34vstcg33.webp
43504219198,CPU AMD AM5 RYZEN 9 9900X3D (NEXT) - A0169017,24.2พัน,4,Advice Official Shop,1%,฿241.50,https://shopee.co.th/product/62824618/43504219198,https://s.shopee.co.th/3LOz5lM7ML,https://down-ws-th.img.susercontent.com/th-11134275-7rasf-maw7gzrwpuo1b1.webp
40704224131,CPU AMD AM5 RYZEN 9 9950X3D (NEXT) - A0168684,32.2พัน,11,Advice Official Shop,1%,฿321.80,https://shopee.co.th/product/62824618/40704224131,https://s.shopee.co.th/3qLFggKDLS,https://down-ws-th.img.susercontent.com/th-11134275-7rasf-maw7gzrwpuo1b1.webp
