รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ,รูปสินค้า
43905969581,VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5090 32G GAMING TRIO OC - 32GB GDDR7,169.7พัน,1,JIB Official Store,1%,"฿1,697.30",https://shopee.co.th/product/17333589/43905969581,https://s.shopee.co.th/2BD1GnZPSV,https://down-zl-th.img.susercontent.com/th-11134207-7ra0m-mbet1fh1hbnaa6.webp
49801319271,คอมประกอบ GIGABYTE AITOP : Computer Set intel #i375 ULTRA 9 285K RTX5090 32GB GIGABYTE WINDFORCE (OC/D7) - A0172192,301.1พัน,0,Advice Official Shop,1%,"฿3,011.30",https://shopee.co.th/product/62824618/49801319271,https://s.shopee.co.th/1gGkfsbJTQ,https://down-zl-th.img.susercontent.com/th-11134207-81ztn-mq8t04g63tvx56.webp
56206574136,คอมประกอบพรีเมียม / 4K | Ryzen 9 9950X3D + RTX 5090 | DDR5 12GB 6000MHz / SSD 1TB | ชุดน้ำปิด,236.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,"฿2,369.00",https://shopee.co.th/product/1362751893/56206574136,https://s.shopee.co.th/1qaAsBag8T,https://down-zl-th.img.susercontent.com/sg-11134275-821eo-mh0e5nskf7k86e.webp
50662133613,GIGABYTE RTX5090 AORUS INFINITY 32GB GDDR7,288.9พัน,0,EXPERT MINES COMPANY LIMITED,2.50%,"฿7,222.50",https://shopee.co.th/product/22858428/50662133613,https://s.shopee.co.th/1LduHGca9O,https://down-zl-th.img.susercontent.com/th-11134207-81zte-mpeku3c4tngscb.webp
26183015804,MSI RTX5090 SUPRIM SOC 32GB GDDR7,195.5พัน,1,EXPERT MINES COMPANY LIMITED,2.50%,"฿4,887.50",https://shopee.co.th/product/22858428/26183015804,https://s.shopee.co.th/1VxKTZbwoR,https://down-zl-th.img.susercontent.com/th-11134207-7ras8-m8fwept4cfgvaf.webp
43955277368,VGA (การ์ดแสดงผล) ASUS ROG ASTRAL GEFORCE RTX 5090 32GB GDDR7 OC EDITION,180.7พัน,0,JIB Official Store,1%,"฿1,807.40",https://shopee.co.th/product/17333589/43955277368,https://s.shopee.co.th/1113sedqpM,https://down-zl-th.img.susercontent.com/th-11134207-7ra0u-mb7sojhocgfq48.webp
27931607925,ASUS ROG ASTRAL GAMING GEFORCE RTX5090 OC EDITION /32GB GDDR7 (90YV0LW0-M0NA00),180.0พัน,2,TECHNOCOM.OFFICIAL,1%,"฿1,799.90",https://shopee.co.th/product/296265950/27931607925,https://s.shopee.co.th/1BKU4xdDUP,https://down-zl-th.img.susercontent.com/th-11134207-7rasb-m847by4n5tkec6.webp
42102892054,ASUS RTX 5090 ระบบระบายความร้อนด้วยน้ำ Night God Wind Cooling Night God TUF ZTE PowerColor 5090 OC เวอร์ชันต่างประเทศ,337.7พัน,1,I KNOW YOU,10%,"฿33,771.00",https://shopee.co.th/product/1015053753/42102892054,https://s.shopee.co.th/gODU2f7VK,https://down-zl-th.img.susercontent.com/sg-11134201-8260c-mk0ukmy20v7p69.webp
54860897872,คอมประกอบพรีเมียม / 4K | Ryzen 9 9950X3D + RTX 5090 32GB | DDR5 32GB / SSD 1TB | พร้อมใช้ ประกันไทย,204.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,"฿2,049.00",https://shopee.co.th/product/1362751893/54860897872,https://s.shopee.co.th/qhdgLeUAN,https://down-bs-th.img.susercontent.com/th-11134207-81ztd-mpx5tygok26833.webp
49410930754,คอมประกอบพรีเมียม / 4K | Ryzen 7 9800X3D + RTX 5090 32GB | DDR5 32GB / SSD 1TB | พร้อมใช้ ประกันไทย,193.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,"฿1,939.00",https://shopee.co.th/product/1362751893/49410930754,https://s.shopee.co.th/LlN5QgOBI,https://down-bs-th.img.susercontent.com/th-11134207-81ztd-mpx5tygok26833.webp
